# SO2 Absorption Cross section
# Source: Rufus et al. 2009 (JGR)
# Temp: 298K
# Wavelength (nm), Cross-section
3.257134726013114800e+02 -9.528600000000000462e-21
3.257129527647365990e+02 -1.285569999999999926e-20
3.257124223209625029e+02 -1.733599999999999882e-21
3.257119024877400761e+02 -9.068400000000000676e-21
3.257113720473867602e+02 -2.944999999999999815e-21
3.257108416087612568e+02 8.299999999999999863e-23
3.257103217805844224e+02 -1.656999999999999924e-21
3.257097913453796991e+02 1.685200000000000016e-21
3.257092715205552622e+02 -8.930799999999999490e-21
3.257087410887712622e+02 -4.955999999999999950e-21
3.257082106587150179e+02 -3.987299999999999955e-21
3.257076908389360028e+02 -1.072169999999999961e-20
3.257071604123004818e+02 -6.588099999999999803e-21
3.257066405958738073e+02 -1.108560000000000045e-20
3.257061101726589527e+02 -6.086999999999999685e-22
3.257055904656687062e+02 5.311900000000000282e-21
3.257050600458742338e+02 -1.145759999999999992e-20
3.257045296278073465e+02 -1.220400000000000052e-20
3.257040098197778661e+02 -6.111000000000000076e-21
