#Wavelength (nm)	Absorption cross-section (cm2/molecule)
267.29	4.21E-19
267.30	4.10E-19
267.30	4.00E-19
267.31	4.07E-19
267.32	4.18E-19
267.33	4.19E-19
267.34	4.23E-19
267.34	4.13E-19
267.35	4.12E-19
267.36	4.00E-19
267.37	4.07E-19
267.38	4.01E-19
267.39	4.05E-19
267.39	3.96E-19
267.40	3.97E-19
267.41	3.98E-19
267.42	3.91E-19
267.43	3.84E-19
267.43	3.88E-19
267.44	3.92E-19
267.45	3.93E-19
267.46	3.83E-19
267.47	3.92E-19
267.48	3.88E-19
267.48	3.89E-19
267.49	4.00E-19
267.50	4.09E-19
267.51	4.06E-19
267.52	4.19E-19
267.53	4.09E-19
267.53	4.05E-19
267.54	4.05E-19
267.55	4.21E-19
267.56	4.24E-19
267.57	4.20E-19
267.57	4.50E-19
267.58	4.79E-19
267.59	4.75E-19
267.60	4.67E-19
267.61	4.71E-19
267.62	4.76E-19
267.62	4.72E-19
267.63	4.76E-19
267.64	4.89E-19
267.65	4.97E-19
267.66	4.90E-19
267.66	4.92E-19
267.67	4.90E-19
267.68	4.81E-19
267.69	4.97E-19
267.70	4.91E-19
267.71	4.92E-19
267.71	4.92E-19
267.72	4.83E-19
267.73	4.98E-19
267.74	4.81E-19
267.75	4.81E-19
267.75	4.62E-19
267.76	4.66E-19
267.77	4.75E-19
267.78	4.65E-19
267.79	4.73E-19
267.80	4.71E-19
267.80	4.51E-19
267.81	4.46E-19
267.82	4.54E-19
267.83	4.52E-19
267.84	4.43E-19
267.85	4.39E-19
267.85	4.38E-19
267.86	4.43E-19
267.87	4.36E-19
267.88	4.38E-19
267.89	4.40E-19
267.89	4.23E-19
267.90	4.17E-19
267.91	4.14E-19
267.92	4.17E-19
267.93	4.19E-19
267.94	4.20E-19
267.94	4.15E-19
267.95	4.13E-19
267.96	4.05E-19
267.97	3.99E-19
267.98	3.97E-19
267.98	3.98E-19
267.99	3.91E-19
268.00	3.95E-19
268.01	3.98E-19
268.02	3.95E-19
268.03	4.00E-19
268.03	4.01E-19
268.04	3.91E-19
268.05	3.81E-19
268.06	3.77E-19
268.07	3.79E-19
268.08	3.92E-19
268.08	3.82E-19
268.09	3.86E-19
268.10	3.87E-19
268.11	3.83E-19
268.12	3.77E-19
268.12	3.75E-19
268.13	3.85E-19
268.14	3.93E-19
268.15	3.90E-19
268.16	3.93E-19
268.17	3.99E-19
268.17	4.06E-19
268.18	4.11E-19
268.19	4.19E-19
268.20	4.36E-19
268.21	4.40E-19
268.21	4.24E-19
268.22	4.17E-19
268.23	4.25E-19
